anno,artista,titolo,canale,righe_excel,bucket,motivo,nota_correzione,classificazione_aggiornata
2017,OLMI CORRADO,Teste Di Quoio,SKY CINEMA COMEDY,4,D,film/cast ok o parziale ma non in output campagna,,no
2017,REMAR WILLIAM JAMES,La Ragazza Della Porta Accanto,CIELO,4,D,film/cast ok o parziale ma non in output campagna,,no
2017,SORVINO MIRA,Exposed - Nell'ombra Di Un Delitto,Cielo,4,D,film/cast ok o parziale ma non in output campagna,,no
2018,MEZZETTI MATTEI DANILO,STORIA DI DONNE,CIELO,4,D,film/cast ok o parziale ma non in output campagna,,no
2018,ORLANDO ILARIA,BAD TEACHER - UNA CATTIVA MAESTRA,TV8,4,D,film/cast ok o parziale ma non in output campagna,,no
2018,REMAR WILLIAM JAMES,DJANGO UNCHAINED,TV8,4,D,cast presente; blocco mandato (dal 2023),Cast REMAR presente sull'opera,sì
2018,REMAR WILLIAM JAMES,La Ragazza Della Porta Accanto,TV8,4,D,film/cast ok o parziale ma non in output campagna,,no
2018,REMAR WILLIAM JAMES,RATATOUILLE,SKY CINEMA FAMILY+1,4,C,opera assente o non riconciliata in catalogo,,no
2018,REMAR WILLIAM JAMES,WHITE FANG,SKY CINEMA FAMILY+1,4,D,film/cast ok o parziale ma non in output campagna,,no
2018,ROBERTS ERIC,OZ,SKY ATLANTIC +1,4,A,episodio/serie non matchata (spesso anche mandato),,no
2018,YOUNGS JOHN SMEALLIE,Shortcut To Happiness,CIELO,4,B,cast assente in catalogo (sull'opera collegata),,no
2019,ROBERTS ERIC,THE CONDEMNED 2,TV8,4,C,serie/opera senza episodi utili,,no
2019,YAMANOUCHI HARUHIKO,ZOOLANDER 2,TV8,4,C,artista assente in anagrafica,,no
2019,YOUNGS JOHN SMEALLIE,SHORTCUT TO HAPPINESS,TV8,4,B,cast assente in catalogo (sull'opera collegata),,no
2015,BARBERO FRANCO,Senso '45,Cielo,3,C,serie/opera senza episodi utili,,no
2015,CHRISMA,Perduto Amor,Sky Arte,3,C,alias/banda da split cella — non artista anagrafico,"Derivati da ARCIERI MAURIZIO/NEW DADA,...",sì
2015,KRISMA,Perduto Amor,Sky Arte,3,C,alias/banda da split cella — non artista anagrafico,"Derivati da ARCIERI MAURIZIO/NEW DADA,...",sì
2015,NEW DADA,Perduto Amor,Sky Arte,3,C,alias/banda da split cella — non artista anagrafico,"Derivati da ARCIERI MAURIZIO/NEW DADA,...",sì
2015,SEAGAL STEVEN,the foreigner,Cielo,3,D,film/cast ok o parziale ma non in output campagna,,no
2016,BARBERO FRANCO,Senso '45,Cielo,3,C,serie/opera senza episodi utili,,no
2016,DONATONE GIACINTO,Il Padrino Parte III,Sky Cinema Collection,3,D,film/cast ok o parziale ma non in output campagna,,no
2016,LA CAYENNE JACK LONGONI ALBERTO ANDREA,Yuppi Du,SKY CINEMA COMEDY,3,C,artista assente in anagrafica,,no
2016,SEAGAL STEVEN,THE FOREIGNER,Cielo,3,D,film/cast ok o parziale ma non in output campagna,,no
2016,ZUCCA MARIO,DIAMOND DOGS,Cielo,3,D,film/cast ok o parziale ma non in output campagna,,no
2017,ASSANTE ARMAND,ASSUMED KILLER,TV8,3,D,film/cast ok o parziale ma non in output campagna,,no
2017,GUILFOYLE PAUL,L.A. CONFIDENTIAL,TV8,3,D,film/cast ok o parziale ma non in output campagna,,no
2017,ROBERTS ERIC,Ossessione Senza Fine: Il Ritorno,SKY CINEMA PASSION,3,D,film/cast ok o parziale ma non in output campagna,,no
2017,ROBERTS ERIC,THE CONDEMNED 2,Cielo,3,C,serie/opera senza episodi utili,,no
2017,ZUCCA MARIO,Spongebob - Fuori Dall'acqua,SKY CINEMA HITS,3,D,cast presente; match non persistito / da verificare,Cast ZUCCA presente,sì
2018,CETTI MONICA,La Grande Bellezza - Versione Integrale,SKY CINEMA OSCAR,3,C,opera assente o non riconciliata in catalogo,,no
2018,GIOIELLI LORENZO,La Grande Bellezza - Versione Integrale,SKY CINEMA OSCAR,3,C,opera assente o non riconciliata in catalogo,,no
2015,GIUFFRE ADRIANA,Sesso E Volentieri,SKY CINEMA MAX,2,D,film/cast ok o parziale ma non in output campagna,,no
2015,LEONI LUIGI,Giovannona Coscialunga Disonorata CON Onore,Cielo,2,C,opera assente o non riconciliata in catalogo,,no
2015,LEONI LUIGI,Sesso E Volentieri,SKY CINEMA MAX,2,D,film/cast ok o parziale ma non in output campagna,,no
2015,SALA EDOARDO,Romanzo Criminale La serie 2,Sky Tg 24 DTT,2,A,episodio/serie non matchata (spesso anche mandato),,no
2016,ASSANTE ARMAND,Assumed Killer,TV8,2,D,film/cast ok o parziale ma non in output campagna,,no
2016,FARGAS JUAN ANTONIO,Pepper Anderson Agente Speciale,Sky Atlantic Rocks,2,A,episodio/serie non matchata (spesso anche mandato),,no
2016,SEAGAL STEVEN,Force Of Execution,Cielo,2,D,cast presente; possibile gap anno/campagne,Cast SEAGAL presente,sì
2016,YOUNGS JOHN SMEALLIE,HOTEL COLONIAL,SKY CINEMA CULT,2,D,film/cast ok o parziale ma non in output campagna,,no
2017,DAVITIAN KENNETH,Meet the Spartans,Cielo,2,D,film/cast ok o parziale ma non in output campagna,,no
2017,FARGAS JUAN ANTONIO,WHORE,Cielo,2,D,film/cast ok o parziale ma non in output campagna,,no
2017,LEONI LUIGI,Giovannona Coscialunga Disonorata CON Onore,Cielo,2,C,opera assente o non riconciliata in catalogo,,no
2017,MARCO BARONI,Cado Dalle Nubi,SKY CINEMA +1,2,C,opera assente o non riconciliata in catalogo,,no
2017,ORLANDO ILARIA,GLI STAGISTI,TV8,2,B,cast assente in catalogo (sull'opera collegata),,no
2017,YOUNGS JOHN SMEALLIE,SHORTCUT TO HAPPINESS,Cielo,2,B,cast assente in catalogo (sull'opera collegata),,no
2018,BORKAN GENE,Bound - Torbido Inganno,TV8,2,D,film/cast ok o parziale ma non in output campagna,,no
2018,GUILFOYLE PAUL,L.A. CONFIDENTIAL,TV8,2,D,film/cast ok o parziale ma non in output campagna,,no
2018,GUILFOYLE PAUL,La Notte Della Verità,SKY CINEMA PASSION,2,D,film/cast ok o parziale ma non in output campagna,,no
2018,MCNAMARA WILLIAM WEST,AMBUSHED,TV8,2,D,film/cast ok o parziale ma non in output campagna,,no
2018,MCNAMARA WILLIAM WEST,L'ossessione Di Maddie,TV8,2,D,film/cast ok o parziale ma non in output campagna,,no
2018,PARE MICHAEL,THE VATICAN TAPES,SKY CINEMA MAX,2,D,film/cast ok o parziale ma non in output campagna,,no
2018,ROBERTS ERIC,BED AND BREAKFAST,TV8,2,D,film/cast ok o parziale ma non in output campagna,,no
2018,ROBERTS ERIC,THE CONDEMNED 2,CIELO,2,C,serie/opera senza episodi utili,,no
2018,SORVINO MIRA,Exposed - Nell'ombra Di Un Delitto,CIELO,2,D,film/cast ok o parziale ma non in output campagna,,no
2018,ZUCCA MARIO,IN QUESTO MONDO DI LADRI,TV8,2,B,cast assente in catalogo (sull'opera collegata),,no
2019,CETTI MONICA,LA GRANDE BELLEZZA - VERSIONE INTEGRALE,SKY CINEMA OSCAR,2,C,opera assente o non riconciliata in catalogo,,no
2019,DI CARMINE MAURIZIO,La Passione Di Cristo,TV8,2,B,cast assente in catalogo (sull'opera collegata),,no
2019,GIOIELLI LORENZO,LA GRANDE BELLEZZA - VERSIONE INTEGRALE,SKY CINEMA OSCAR,2,C,opera assente o non riconciliata in catalogo,,no
2019,GUILFOYLE PAUL,Il Negoziatore,TV8,2,B,cast assente in catalogo (sull'opera collegata),,no
2019,MCNAMARA WILLIAM WEST,Il Terrore Al Piano Di Sopra,TV8,2,D,film/cast ok o parziale ma non in output campagna,,no
2019,MCNAMARA WILLIAM WEST,L'ossessione Di Maddie,TV8,2,D,film/cast ok o parziale ma non in output campagna,,no
2019,REMAR WILLIAM JAMES,La Prova,SKY CINEMA MAX+1,2,D,film/cast ok o parziale ma non in output campagna,,no
2019,SINGH MOSE,SHOCKWAVE - COUNTDOWN TO DISASTER,CIELO,2,C,opera assente o non riconciliata in catalogo,,no
2019,YAMANOUCHI HARUHIKO,GRAFFIANTE DESIDERIO,CIELO,2,C,artista assente in anagrafica,,no
2015,ROBERTS ERIC,ENTOURAGE 5,Sky Atlantic,1,A,episodio/serie non matchata (spesso anche mandato),,no
2016,BORKAN GENE,SEVEN,SKY CINEMA MAX +1,1,D,film/cast ok o parziale ma non in output campagna,,no
2016,LEONI LUIGI,Giovannona Coscialunga Disonorata CON Onore,Cielo,1,C,opera assente o non riconciliata in catalogo,,no
2016,NICOLAS FLORENCE,D'annunzio,Cielo,1,C,opera assente o non riconciliata in catalogo,,no
2016,ROBERTS ERIC,BED AND BREAKFAST,Cielo,1,D,film/cast ok o parziale ma non in output campagna,,no
2017,GIUFFRE ADRIANA,La Gatta Da Pelare,SKY CINEMA COMEDY,1,D,film/cast ok o parziale ma non in output campagna,,no
2017,LAMAS LORENZO,SHARKNADO 3: OH HELL NO!,CIELO,1,D,film/cast ok o parziale ma non in output campagna,,no
2017,NICOLAS FLORENCE,D'annunzio,Cielo,1,C,opera assente o non riconciliata in catalogo,,no
2017,ZUCCA MARIO,DIAMOND DOGS,Cielo,1,D,film/cast ok o parziale ma non in output campagna,,no
2018,BIONDI LYDIA,"Mangia, Prega, Ama",TV8,1,C,opera assente o non riconciliata in catalogo,,no
2018,PARE MICHAEL,Direct Contact,SKY CINEMA MAX COLLECTION,1,D,film/cast ok o parziale ma non in output campagna,,no
2018,ROBERTS ELIZA,FIRST DOG,TV8,1,D,film/cast ok o parziale ma non in output campagna,,no
2018,ROBERTS ERIC,FIRST DOG,TV8,1,D,film/cast ok o parziale ma non in output campagna,,no
2019,CETTI MONICA,LA GRANDE BELLEZZA,SKY CINEMA HITS/COLLECTION,1,B,cast assente in catalogo (sull'opera collegata),,no
2019,GIOIELLI LORENZO,LA GRANDE BELLEZZA,SKY CINEMA HITS/COLLECTION,1,B,cast assente in catalogo (sull'opera collegata),,no
2019,GIUSTO ORNELLA,La Passione Di Cristo,CIELO,1,B,cast assente in catalogo (sull'opera collegata),,no
2019,ORLANDO ILARIA,GLI STAGISTI,CIELO,1,B,cast assente in catalogo (sull'opera collegata),,no
2019,ROBERTS ERIC,Il Terrore Al Piano Di Sopra,TV8,1,D,film/cast ok o parziale ma non in output campagna,,no
2019,YAMANOUCHI HARUHIKO,THE Green Hornet,TV8,1,C,artista assente in anagrafica,,no
